country_name,Year,Sex,Age,n
Australia,1999,Female,4 years,0.0
Australia,1999,Female,40-44 years,16.0
Australia,1999,Female,45-49 years,25.0
Australia,1999,Female,5-9 years,0.0
Australia,1999,Female,50-54 years,29.0
Australia,1999,Female,55-59 years,24.0
Australia,1999,Female,60-64 years,35.0
Australia,1999,Female,65-69 years,46.0
Australia,1999,Female,70-74 years,54.0
Australia,1999,Female,75-79 years,53.0
Australia,1999,Female,80-84 years,50.0
Australia,1999,Female,85-89 years,60.0
Australia,1999,Female,90-94 years,38.0
Australia,1999,Female,95+ years,12.0
Australia,1999,Female,All ages,477.0
Australia,1999,Female,Unspecified,0.0
Australia,2000,Male,0 years,0.0
Australia,2000,Male,1 years,0.0
Australia,2000,Male,10-14 years,0.0
Australia,2000,Male,15-19 years,2.0
Australia,2000,Male,2 years,0.0
Australia,2000,Male,20-24 years,2.0
Australia,2000,Male,25-29 years,3.0
Australia,2000,Male,3 years,0.0
Australia,2000,Male,30-34 years,8.0
Australia,2000,Male,35-39 years,17.0
Australia,2000,Male,4 years,0.0
Australia,2000,Male,40-44 years,26.0
Australia,2000,Male,45-49 years,31.0
Australia,2000,Male,5-9 years,0.0
Australia,2000,Male,50-54 years,51.0
Australia,2000,Male,55-59 years,59.0
Australia,2000,Male,60-64 years,76.0
Australia,2000,Male,65-69 years,86.0
Australia,2000,Male,70-74 years,147.0
Australia,2000,Male,75-79 years,145.0
Australia,2000,Male,80-84 years,119.0
Australia,2000,Male,85-89 years,51.0
Australia,2000,Male,90-94 years,31.0
Australia,2000,Male,95+ years,4.0
Australia,2000,Male,All ages,858.0
Australia,2000,Male,Unspecified,0.0
Australia,2000,Female,0 years,0.0
Australia,2000,Female,1 years,0.0
Australia,2000,Female,10-14 years,0.0
Australia,2000,Female,15-19 years,0.0
Australia,2000,Female,2 years,0.0
Australia,2000,Female,20-24 years,4.0
Australia,2000,Female,25-29 years,4.0
Australia,2000,Female,3 years,0.0
Australia,2000,Female,30-34 years,9.0
Australia,2000,Female,35-39 years,21.0
Australia,2000,Female,4 years,0.0
Australia,2000,Female,40-44 years,21.0
Australia,2000,Female,45-49 years,26.0
Australia,2000,Female,5-9 years,0.0
Australia,2000,Female,50-54 years,22.0
Australia,2000,Female,55-59 years,30.0
Australia,2000,Female,60-64 years,33.0
Australia,2000,Female,65-69 years,31.0
Australia,2000,Female,70-74 years,52.0
Australia,2000,Female,75-79 years,64.0
Australia,2000,Female,80-84 years,65.0
Australia,2000,Female,85-89 years,46.0
Australia,2000,Female,90-94 years,36.0
Australia,2000,Female,95+ years,8.0
Australia,2000,Female,All ages,472.0
Australia,2000,Female,Unspecified,0.0
Australia,2001,Male,0 years,0.0
Australia,2001,Male,1 years,0.0
Australia,2001,Male,10-14 years,0.0
Australia,2001,Male,15-19 years,2.0
Australia,2001,Male,2 years,0.0
Australia,2001,Male,20-24 years,7.0
Australia,2001,Male,25-29 years,7.0
Australia,2001,Male,3 years,0.0
Australia,2001,Male,30-34 years,7.0
Australia,2001,Male,35-39 years,24.0
Australia,2001,Male,4 years,0.0
Australia,2001,Male,40-44 years,32.0
Australia,2001,Male,45-49 years,38.0
Australia,2001,Male,5-9 years,0.0
Australia,2001,Male,50-54 years,50.0
Australia,2001,Male,55-59 years,68.0
Australia,2001,Male,60-64 years,87.0
Australia,2001,Male,65-69 years,102.0
Australia,2001,Male,70-74 years,151.0
